File, Line, Error
bit_shift.c , 22 ,  warning: shift count >= width of type
bit_shift.c , 46 ,  warning: shift count >= width of type
bit_shift.c , 70 ,  warning: shift count is negative
bit_shift.c , 82 ,  warning: shift count >= width of type
bit_shift.c , 94 ,  warning: shift count is negative
bit_shift.c , 237 ,  warning: shift count >= width of type
bit_shift.c , 22 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 35 ,  warning: Loss of precision in implicit conversion
bit_shift.c , 46 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 59 ,  warning: Loss of precision in implicit conversion
bit_shift.c , 70 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 82 ,  warning: The result of the '>>' expression is undefined
bit_shift.c , 94 ,  warning: The result of the '>>' expression is undefined
bit_shift.c , 105 ,  warning: Duplicate code detected
bit_shift.c , 174 ,  note: Similar code here
bit_shift.c , 107 ,  warning: Duplicate code detected
bit_shift.c , 121 ,  note: Similar code here
bit_shift.c , 176 ,  note: Similar code here
bit_shift.c , 209 ,  note: Similar code here
bit_shift.c , 226 ,  note: Similar code here
bit_shift.c , 107 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 134 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 147 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 164 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 176 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 194 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 208 ,  warning: Duplicate code detected
bit_shift.c , 225 ,  note: Similar code here
bit_shift.c , 209 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 226 ,  warning: The result of the '<<' expression is undefined
bit_shift.c , 237 ,  warning: The result of the '<<' expression is undefined
invalid_memory_access.c , 33 ,  warning: pointer/integer type mismatch in conditional expression ('int *' and 'int')
invalid_memory_access.c , 33 ,  warning: This statement is never executed
invalid_memory_access.c , 37 ,  warning: This statement is never executed
invalid_memory_access.c , 45 ,  warning: Dereference of null pointer
invalid_memory_access.c , 60 ,  warning: Duplicate code detected
invalid_memory_access.c , 62 ,  note: Similar code here
invalid_memory_access.c , 99 ,  warning: Duplicate code detected
invalid_memory_access.c , 123 ,  note: Similar code here
invalid_memory_access.c , 609 ,  note: Similar code here
invalid_memory_access.c , 168 ,  warning: Duplicate code detected
invalid_memory_access.c , 169 ,  note: Similar code here
invalid_memory_access.c , 181 ,  warning: Dereference of null pointer
invalid_memory_access.c , 183 ,  warning: Duplicate code detected
invalid_memory_access.c , 184 ,  note: Similar code here
invalid_memory_access.c , 201 ,  warning: Duplicate code detected
invalid_memory_access.c , 559 ,  note: Similar code here
invalid_memory_access.c , 206 ,  warning: Duplicate code detected
invalid_memory_access.c , 584 ,  note: Similar code here
invalid_memory_access.c , 265 ,  warning: Access to field 'a' results in a dereference of a null pointer (loaded from field 's1')
invalid_memory_access.c , 265 ,  warning: Duplicate code detected
invalid_memory_access.c , 270 ,  note: Similar code here
invalid_memory_access.c , 280 ,  warning: the computation of the size of the memory allocation may overflow
invalid_memory_access.c , 341 ,  warning: Duplicate code detected
invalid_memory_access.c , 353 ,  note: Similar code here
invalid_memory_access.c , 345 ,  warning: Duplicate code detected
invalid_memory_access.c , 346 ,  note: Similar code here
invalid_memory_access.c , 357 ,  note: Similar code here
invalid_memory_access.c , 358 ,  note: Similar code here
invalid_memory_access.c , 371 ,  warning: Access to field 'a' results in a dereference of a null pointer (loaded from variable 's')
invalid_memory_access.c , 403 ,  warning: Duplicate code detected
invalid_memory_access.c , 415 ,  note: Similar code here
invalid_memory_access.c , 407 ,  warning: Duplicate code detected
invalid_memory_access.c , 408 ,  note: Similar code here
invalid_memory_access.c , 419 ,  note: Similar code here
invalid_memory_access.c , 420 ,  note: Similar code here
invalid_memory_access.c , 432 ,  warning: Access to field 'a' results in a dereference of a null pointer (loaded from variable 'invalid_memory_access_013_s_001_s_gbl')
invalid_memory_access.c , 443 ,  warning: Duplicate code detected
invalid_memory_access.c , 444 ,  note: Similar code here
invalid_memory_access.c , 542 ,  warning: Duplicate code detected
invalid_memory_access.c , 598 ,  note: Similar code here
invalid_memory_access.c , 568 ,  warning: Array access (from variable 'invalid_memory_access_016_doubleptr_gbl') results in a null pointer dereference
_string.h , 83 ,  note: expanded from macro 'strcpy'
data_overflow.c , 319 ,  warning: overflow in expression; result is -2147483648 with type 'int'
data_overflow.c , 46 ,  warning: Duplicate code detected
data_overflow.c , 163 ,  note: Similar code here
data_overflow.c , 110 ,  warning: Loss of precision in implicit conversion
data_overflow.c , 189 ,  warning: Duplicate code detected
data_overflow.c , 256 ,  note: Similar code here
data_overflow.c , 191 ,  warning: Duplicate code detected
data_overflow.c , 205 ,  note: Similar code here
data_overflow.c , 258 ,  note: Similar code here
data_overflow.c , 291 ,  note: Similar code here
data_overflow.c , 308 ,  note: Similar code here
data_overflow.c , 290 ,  warning: Duplicate code detected
data_overflow.c , 307 ,  note: Similar code here
livelock.c , 25 ,  warning: Duplicate code detected
livelock.c , 42 ,  note: Similar code here
livelock.c , 32 ,  warning: This lock has already been acquired
livelock.c , 49 ,  warning: This lock has already been acquired
ptr_subtraction.c , 22 ,  warning: Subtraction of two pointers that do not point to the same memory chunk may cause incorrect result
ptr_subtraction.c , 35 ,  warning: Pointer arithmetic on non-array variables relies on memory layout, which is dangerous
not_return.c , 24 ,  warning: control may reach end of non-void function
not_return.c , 50 ,  warning: control may reach end of non-void function
not_return.c , 76 ,  warning: control may reach end of non-void function
not_return.c , 99 ,  warning: control may reach end of non-void function
underrun_st.c , 21 ,  warning: array index -1 is before the beginning of the array
underrun_st.c , 19 ,  note: array 'buf' declared here
underrun_st.c , 31 ,  warning: array index -1 is before the beginning of the array
underrun_st.c , 30 ,  note: array 'buf' declared here
underrun_st.c , 21 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 31 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 42 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 55 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 67 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 80 ,  warning: Access out-of-bound array element (buffer overflow)
underrun_st.c , 90 ,  warning: Duplicate code detected
underrun_st.c , 121 ,  note: Similar code here
underrun_st.c , 104 ,  warning: Duplicate code detected
underrun_st.c , 135 ,  note: Similar code here
sign_conv.c , 71 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 83 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 95 ,  warning: Duplicate code detected
sign_conv.c , 167 ,  note: Similar code here
sign_conv.c , 246 ,  note: Similar code here
sign_conv.c , 262 ,  note: Similar code here
sign_conv.c , 95 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 107 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 108 ,  warning: Loss of precision in implicit conversion
sign_conv.c , 217 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 245 ,  warning: Duplicate code detected
sign_conv.c , 261 ,  note: Similar code here
sign_conv.c , 246 ,  warning: Loss of sign in implicit conversion
sign_conv.c , 262 ,  warning: Loss of sign in implicit conversion
buffer_overrun_dynamic.c , 21 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 456 ,  note: Similar code here
buffer_overrun_dynamic.c , 53 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 508 ,  note: Similar code here
buffer_overrun_dynamic.c , 165 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 166 ,  note: Similar code here
buffer_overrun_dynamic.c , 176 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 177 ,  note: Similar code here
buffer_overrun_dynamic.c , 229 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 244 ,  note: Similar code here
buffer_overrun_dynamic.c , 259 ,  note: Similar code here
buffer_overrun_dynamic.c , 274 ,  note: Similar code here
buffer_overrun_dynamic.c , 344 ,  note: Similar code here
buffer_overrun_dynamic.c , 361 ,  note: Similar code here
buffer_overrun_dynamic.c , 231 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 310 ,  note: Similar code here
buffer_overrun_dynamic.c , 246 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 348 ,  note: Similar code here
buffer_overrun_dynamic.c , 367 ,  note: Similar code here
buffer_overrun_dynamic.c , 333 ,  warning: Access out-of-bound array element (buffer overflow)
buffer_overrun_dynamic.c , 344 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 361 ,  note: Similar code here
buffer_overrun_dynamic.c , 347 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 366 ,  note: Similar code here
buffer_overrun_dynamic.c , 380 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 398 ,  note: Similar code here
buffer_overrun_dynamic.c , 414 ,  note: Similar code here
buffer_overrun_dynamic.c , 387 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 403 ,  note: Similar code here
buffer_overrun_dynamic.c , 388 ,  warning: Potential copy-paste error; did you really mean to use 'buf' here?
buffer_overrun_dynamic.c , 78 ,  note: Similar code using 'buf' here
buffer_overrun_dynamic.c , 460 ,  warning: Duplicate code detected
buffer_overrun_dynamic.c , 578 ,  note: Similar code here
stubs.c , 36 ,  warning: '/*' within block comment
uninit_pointer.c , 30 ,  warning: Dereference of undefined pointer value
uninit_pointer.c , 187 ,  warning: 2nd function call argument is an uninitialized value
_string.h , 83 ,  note: expanded from macro 'strcpy'
uninit_pointer.c , 41 ,  warning: Dereference of undefined pointer value
uninit_pointer.c , 55 ,  warning: Dereference of undefined pointer value
uninit_pointer.c , 71 ,  warning: 1st function call argument is an uninitialized value
uninit_pointer.c , 80 ,  warning: Duplicate code detected
uninit_pointer.c , 81 ,  note: Similar code here
uninit_pointer.c , 85 ,  warning: Duplicate code detected
uninit_pointer.c , 86 ,  note: Similar code here
uninit_pointer.c , 90 ,  warning: Dereference of undefined pointer value
uninit_pointer.c , 104 ,  warning: Dereference of undefined pointer value
uninit_pointer.c , 122 ,  warning: Duplicate code detected
