File, Line, Error
improper_error_handling.cpp , 21 ,  error: cannot use 'throw' with exceptions disabled
improper_error_handling.cpp , 18 ,  error: cannot use 'try' with exceptions disabled
improper_error_handling.cpp , 42 ,  error: cannot use 'throw' with exceptions disabled
improper_error_handling.cpp , 39 ,  error: cannot use 'try' with exceptions disabled
improper_error_handling.cpp , 64 ,  error: cannot use 'throw' with exceptions disabled
improper_error_handling.cpp , 61 ,  error: cannot use 'try' with exceptions disabled
improper_error_handling.cpp , 89 ,  error: cannot use 'throw' with exceptions disabled
improper_error_handling.cpp , 95 ,  error: cannot use 'throw' with exceptions disabled
improper_error_handling.cpp , 85 ,  error: cannot use 'try' with exceptions disabled
improper_error_handling.cpp , 83 ,  error: cannot use 'try' with exceptions disabled
