File, Line, Error
bit_shift.c, 70, "Shifting by a negative value is undefined behaviour"
bit_shift.c, 94, "Shifting by a negative value is undefined behaviour"
bit_shift.c, 22, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 46, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 82, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 107, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 105, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 134, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 132, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 147, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 145, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 164, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 176, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 182, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 209, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 208, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 205, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 226, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 225, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 224, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 220, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 237, "Shifting 32-bit value by 32 bits is undefined behaviour"
bit_shift.c, 22, "Signed integer overflow for expression 'a<<32'."
bit_shift.c, 20, "Signed integer overflow for expression 'a<<32'."
bit_shift.c, 107, "Signed integer overflow for expression 'a<<shift'."
bit_shift.c, 104, "Signed integer overflow for expression 'a<<shift'."
bit_shift.c, 134, "Signed integer overflow for expression 'a<<((5*shift)+2)'."
bit_shift.c, 131, "Signed integer overflow for expression 'a<<((5*shift)+2)'."
bit_shift.c, 147, "Signed integer overflow for expression 'a<<((shift*shift)+7)'."
bit_shift.c, 144, "Signed integer overflow for expression 'a<<((shift*shift)+7)'."
bit_shift.c, 164, "Signed integer overflow for expression 'a<<bit_shift_012_func_001()'."
bit_shift.c, 162, "Signed integer overflow for expression 'a<<bit_shift_012_func_001()'."
bit_shift.c, 176, "Signed integer overflow for expression 'a<<shift'."
bit_shift.c, 174, "Signed integer overflow for expression 'a<<shift'."
bit_shift.c, 209, "Signed integer overflow for expression 'a<<shift1'."
bit_shift.c, 204, "Signed integer overflow for expression 'a<<shift1'."
bit_shift.c, 226, "Signed integer overflow for expression 'a<<shift2'."
bit_shift.c, 219, "Signed integer overflow for expression 'a<<shift2'."
bit_shift.c, 237, "Signed integer overflow for expression '1<<32'."
buffer_overrun_dynamic.c, 333, "Array 'indexes[4]' accessed at index 4, which is out of bounds."
buffer_overrun_dynamic.c, 330, "Array 'indexes[4]' accessed at index 4, which is out of bounds."
buffer_overrun_dynamic.c, 607, "Array 'ptr_s[i].arr[10]' accessed at index 10, which is out of bounds."
buffer_overrun_dynamic.c, 333, "Array 'indexes[4]' accessed at index 4, which is out of bounds."
buffer_underrun_dynamic.c, 178, "Array index -3 is out of bounds."
buffer_underrun_dynamic.c, 532, "Array 'buf[1]' accessed at index -1, which is out of bounds."
buffer_underrun_dynamic.c, 701, "Array 'newTest[10]' accessed at index -10, which is out of bounds."
data_lost.c, 83, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_lost.c, 82, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_lost.c, 81, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_overflow.c, 49, "Signed integer overflow for expression 'max+1'."
data_overflow.c, 47, "Signed integer overflow for expression 'max+1'."
data_overflow.c, 166, "Signed integer overflow for expression 'max+128'."
data_overflow.c, 164, "Signed integer overflow for expression 'max+128'."
data_overflow.c, 178, "Signed integer overflow for expression 'max*2'."
data_overflow.c, 176, "Signed integer overflow for expression 'max*2'."
data_overflow.c, 191, "Signed integer overflow for expression 'max+d'."
data_overflow.c, 188, "Signed integer overflow for expression 'max+d'."
data_overflow.c, 217, "Signed integer overflow for expression '(5*max)+3'."
data_overflow.c, 215, "Signed integer overflow for expression '(5*max)+3'."
data_overflow.c, 229, "Signed integer overflow for expression '(max*max)+88048'."
data_overflow.c, 227, "Signed integer overflow for expression '(max*max)+88048'."
data_overflow.c, 246, "Signed integer overflow for expression 'max+data_overflow_018_func_001()'."
data_overflow.c, 244, "Signed integer overflow for expression 'max+data_overflow_018_func_001()'."
data_overflow.c, 258, "Signed integer overflow for expression 'max+d'."
data_overflow.c, 256, "Signed integer overflow for expression 'max+d'."
data_overflow.c, 291, "Signed integer overflow for expression 'max+d1'."
data_overflow.c, 286, "Signed integer overflow for expression 'max+d1'."
data_overflow.c, 308, "Signed integer overflow for expression 'max+d2'."
data_overflow.c, 301, "Signed integer overflow for expression 'max+d2'."
data_overflow.c, 319, "Signed integer overflow for expression '2147483647+1'."
data_overflow.c, 336, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 335, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 332, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 352, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 351, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 348, "Undefined behaviour: float (inf) to integer conversion overflow."
data_underflow.c, 21, "Signed integer overflow for expression 'min-2'."
data_underflow.c, 19, "Signed integer overflow for expression 'min-2'."
data_underflow.c, 59, "Signed integer overflow for expression 'min-128'."
data_underflow.c, 57, "Signed integer overflow for expression 'min-128'."
data_underflow.c, 71, "Signed integer overflow for expression 'min*2'."
data_underflow.c, 69, "Signed integer overflow for expression 'min*2'."
data_underflow.c, 82, "Signed integer overflow for expression '-2147483647-2'."
data_underflow.c, 141, "Signed integer overflow for expression 'min-data_underflow_010_func_001()'."
data_underflow.c, 139, "Signed integer overflow for expression 'min-data_underflow_010_func_001()'."
data_underflow.c, 153, "Signed integer overflow for expression 'min-d'."
data_underflow.c, 151, "Signed integer overflow for expression 'min-d'."
double_free.c, 22, "Memory pointed to by 'ptr' is freed twice."
double_free.c, 101, "Memory pointed to by 'ptr' is freed twice."
double_free.c, 115, "Memory pointed to by 'ptr' is freed twice."
double_free.c, 131, "Memory pointed to by 'ptr' is freed twice."
double_free.c, 22, "Deallocating a deallocated pointer: ptr"
double_free.c, 43, "Deallocating a deallocated pointer: ptr"
double_free.c, 64, "Deallocating a deallocated pointer: ptr"
double_free.c, 101, "Deallocating a deallocated pointer: ptr"
double_free.c, 115, "Deallocating a deallocated pointer: ptr"
double_free.c, 131, "Deallocating a deallocated pointer: ptr"
double_free.c, 168, "Deallocating a deallocated pointer: ptr"
double_free.c, 187, "Deallocating a deallocated pointer: ptr"
free_nondynamically_allocated_memory.c, 62, "The deallocation of an auto-variable results in undefined behaviour. You should only free memory that has been allocated dynamically."
free_nondynamically_allocated_memory.c, 86, "The deallocation of an auto-variable results in undefined behaviour. You should only free memory that has been allocated dynamically."
free_nondynamically_allocated_memory.c, 103, "The deallocation of an auto-variable results in undefined behaviour. You should only free memory that has been allocated dynamically."
func_pointer.c, 352, "Null pointer dereference: p"
func_pointer.c, 349, "Null pointer dereference: p"
func_pointer.c, 353, "Null pointer dereference: p"
func_pointer.c, 349, "Null pointer dereference: p"
invalid_memory_access.c, 45, "Dereferencing 'ptr' after it is deallocated / released"
invalid_memory_access.c, 86, "Memory leak: dptr"
invalid_memory_access.c, 516, "Returning/dereferencing 'str_rev' after it is deallocated / released"
invalid_memory_access.c, 188, "Dereferencing 'buf2' after it is deallocated / released"
invalid_memory_access.c, 224, "Dereferencing 'buf' after it is deallocated / released"
invalid_memory_access.c, 294, "Dereferencing 'ptr1' after it is deallocated / released"
invalid_memory_access.c, 85, "Uninitialized variable: a"
invalid_memory_access.c, 147, "Uninitialized variable: ptr"
memory_allocation_failure.c, 268, "Return value of allocation function 'memory_allocation_failure_008_func_001' is not stored."
memory_allocation_failure.c, 40, "Memory leak: buf"
memory_allocation_failure.c, 285, "Memory leak: buf"
memory_leak.c, 120, "Memory leak: ptr"
memory_leak.c, 215, "Memory leak: p"
memory_leak.c, 219, "Memory leak: p"
memory_leak.c, 231, "Memory leak: p"
memory_leak.c, 236, "Memory leak: p"
memory_leak.c, 247, "Memory leak: p1"
memory_leak.c, 309, "Memory leak: p"
memory_leak.c, 353, "Memory leak: p"
memory_leak.c, 23, "Memory leak: buf"
memory_leak.c, 404, "Memory leak: str1"
null_pointer.c, 23, "Null pointer dereference: p"
null_pointer.c, 22, "Null pointer dereference: p"
null_pointer.c, 34, "Null pointer dereference: p"
null_pointer.c, 32, "Null pointer dereference: p"
null_pointer.c, 63, "Null pointer dereference: p"
null_pointer.c, 62, "Null pointer dereference: p"
null_pointer.c, 94, "Null pointer dereference: p"
null_pointer.c, 93, "Null pointer dereference: p"
null_pointer.c, 117, "Null pointer dereference: p"
null_pointer.c, 116, "Null pointer dereference: p"
null_pointer.c, 115, "Null pointer dereference: p"
null_pointer.c, 133, "Null pointer dereference: p"
null_pointer.c, 132, "Null pointer dereference: p"
null_pointer.c, 142, "Possible null pointer dereference: p"
null_pointer.c, 147, "Possible null pointer dereference: p"
null_pointer.c, 159, "Null pointer dereference: p1"
null_pointer.c, 158, "Null pointer dereference: p1"
null_pointer.c, 156, "Null pointer dereference: p1"
