File, Line, Error
data_lost.c, 86, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_lost.c, 85, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_lost.c, 83, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_overflow.c, 337, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_overflow.c, 336, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_overflow.c, 333, "Undefined behaviour: float (3.40282e+38) to integer conversion overflow."
data_overflow.c, 353, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 352, "Undefined behaviour: float (inf) to integer conversion overflow."
data_overflow.c, 349, "Undefined behaviour: float (inf) to integer conversion overflow."
double_free.c, 41, "Deallocating a deallocated pointer: ptr"
double_free.c, 156, "Deallocating a deallocated pointer: ptr"
invalid_memory_access.c, 87, "Memory leak: dptr"
invalid_memory_access.c, 89, "Memory leak: dptr"
memory_allocation_failure.c, 278, "Return value of allocation function 'memory_allocation_failure_008_func_001' is not stored."
memory_allocation_failure.c, 295, "Memory leak: buf"
st_cross_thread_access.c, 401, "Invalid number of character '{' when these macros are defined: 'CHECKER_POLYSPACE'."
st_cross_thread_access.c, 401, "Invalid number of character '{' when these macros are defined: 'CHECKER_POLYSPACE;PRINT_DEBUG'."
st_overflow.c, 57, "Uninitialized variable: s"
st_overflow.c, 87, "Uninitialized variable: s"
st_overflow.c, 126, "Uninitialized variable: s"
st_overflow.c, 157, "Uninitialized variable: s"
st_overflow.c, 234, "Uninitialized variable: s"
st_underrun.c, 213, "Buffer is accessed out of bounds: s.buf"
uninit_pointer.c, 248, "Memory leak: ptr"
unlock_without_lock.c, 327, "Invalid number of character '{' when these macros are defined: 'CHECKER_POLYSPACE'."
unlock_without_lock.c, 327, "Invalid number of character '{' when these macros are defined: 'CHECKER_POLYSPACE;PRINT_DEBUG'."
