File, Line, Error
bit_shift.c , 0 ,   No copyright message found.  You should have a line
bit_shift.c , 12 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 18 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 19 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 20 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 21 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 22 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 22 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 30 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 31 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 32 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 32 ,   Use int16/int64/etc, rather than the C type long  [runtime/int] [4]
bit_shift.c , 33 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 33 ,   Use int16/int64/etc, rather than the C type long  [runtime/int] [4]
bit_shift.c , 34 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 34 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 42 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 43 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 44 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 45 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 46 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 46 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 54 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 55 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 56 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 56 ,   Use int16/int64/etc, rather than the C type long  [runtime/int] [4]
bit_shift.c , 57 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 57 ,   Use int16/int64/etc, rather than the C type long  [runtime/int] [4]
bit_shift.c , 58 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 58 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 66 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 67 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 68 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 69 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 70 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 70 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 78 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 79 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 80 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 81 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 82 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 82 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 90 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 91 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 92 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 93 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 94 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 94 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 102 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 103 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 104 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 105 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 106 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 107 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 107 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 115 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 116 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 117 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 118 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 119 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 120 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 120 ,   Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
bit_shift.c , 121 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 121 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 129 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 130 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 131 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 132 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 133 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 134 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 134 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 142 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 143 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 144 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 145 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 146 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 147 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 147 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 155 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 156 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 157 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 160 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 161 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 162 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 163 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 164 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 164 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 172 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 173 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 174 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 175 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 176 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 176 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 180 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 181 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 182 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 189 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 190 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 191 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 192 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 193 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 194 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 194 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 202 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 203 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 204 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 205 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 206 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 207 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 208 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 209 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 209 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
bit_shift.c , 217 ,   Extra space before ( in function call  [whitespace/parens] [4]
bit_shift.c , 218 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
bit_shift.c , 219 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 220 ,   Tab found; better to use spaces  [whitespace/tab] [1]
bit_shift.c , 221 ,   Tab found; better to use spaces  [whitespace/tab] [1]
