File, Line, Error
improper_error_handling.cpp , 0 ,   No copyright message found.  You should have a line
improper_error_handling.cpp , 18 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 19 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 20 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 20 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 20 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 21 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 21 ,   Missing spaces around ==  [whitespace/operators] [3]
improper_error_handling.cpp , 22 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 22 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 23 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 24 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 24 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
improper_error_handling.cpp , 25 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 25 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 25 ,   Missing space before {  [whitespace/braces] [5]
improper_error_handling.cpp , 26 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 26 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 27 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 27 ,   Should have a space between // and comment  [whitespace/comments] [4]
improper_error_handling.cpp , 28 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 29 ,   Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
improper_error_handling.cpp , 38 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 39 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 40 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 40 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 40 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 41 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 41 ,   Missing spaces around ==  [whitespace/operators] [3]
improper_error_handling.cpp , 42 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 42 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 43 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 44 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 44 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
improper_error_handling.cpp , 45 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 45 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 45 ,   Missing space before {  [whitespace/braces] [5]
improper_error_handling.cpp , 46 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 46 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 47 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 48 ,   Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
improper_error_handling.cpp , 57 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 58 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 59 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 59 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 59 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 60 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 60 ,   Missing spaces around ==  [whitespace/operators] [3]
improper_error_handling.cpp , 61 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 63 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 63 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 64 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 65 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 65 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
improper_error_handling.cpp , 66 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 66 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 66 ,   Missing space before {  [whitespace/braces] [5]
improper_error_handling.cpp , 67 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 67 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 68 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 68 ,   Should have a space between // and comment  [whitespace/comments] [4]
improper_error_handling.cpp , 69 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 70 ,   Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
improper_error_handling.cpp , 78 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 79 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 80 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 80 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 80 ,   Missing space before {  [whitespace/braces] [5]
improper_error_handling.cpp , 81 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 82 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 82 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 82 ,   Missing space after ,  [whitespace/comma] [3]
improper_error_handling.cpp , 84 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 84 ,   Missing spaces around ==  [whitespace/operators] [3]
improper_error_handling.cpp , 85 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 87 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 87 ,   Missing spaces around =  [whitespace/operators] [4]
improper_error_handling.cpp , 88 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 89 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 89 ,   Lines should be <= 80 characters long  [whitespace/line_length] [2]
improper_error_handling.cpp , 90 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 90 ,   { should almost always be at the end of the previous line  [whitespace/braces] [4]
improper_error_handling.cpp , 90 ,   Missing space before {  [whitespace/braces] [5]
improper_error_handling.cpp , 91 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 92 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 93 ,   Tab found; better to use spaces  [whitespace/tab] [1]
improper_error_handling.cpp , 94 ,   Tab found; better to use spaces  [whitespace/tab] [1]
