File, Line, Error
free_null_pointer.c , 109 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 146 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 241 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 320 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
invalid_memory_access.c , 568 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
invalid_memory_access.c , 622 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 73 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 96 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 402 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 424 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
null_pointer.c , 238 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
st_underrun.c , 80 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
st_underrun.c , 115 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_memory_access.c , 54 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_pointer.c , 187 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_pointer.c , 406 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_var.c , 142 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
wrong_arguments_func_pointer.c , 213 , ":  [4] (buffer) strcat:Does not check for buffer overflows when concatenating to destination[MS-banned] (CWE-120). Consider using strcat_s, strncat, strlcat, orsnprintf (warning: strncat is easily misused)."
