File, Line, Error
free_null_pointer.c , 119 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 156 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 249 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
free_null_pointer.c , 325 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
invalid_memory_access.c , 576 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
invalid_memory_access.c , 634 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 76 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 100 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 408 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
memory_leak.c , 431 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
null_pointer.c , 259 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
st_underrun.c , 81 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
st_underrun.c , 116 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_memory_access.c , 55 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_pointer.c , 197 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_pointer.c , 423 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
uninit_var.c , 152 , ":  [4] (buffer) strcpy:Does not check for buffer overflows when copying to destination [MS-banned](CWE-120). Consider using snprintf, strcpy_s, or strlcpy (warning: strncpyeasily misused)."
