File, Line, Error
bit_shift.c , 245 , 'volatile' is not thread-safe.
invalid_memory_access.c , 35 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 64 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 69 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 100 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 120 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 124 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 153 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 175 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 207 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 221 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 256 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 258 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 261 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 308 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 343 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 355 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 405 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 417 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 441 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 473 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 483 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 502 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 503 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 507 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 520 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 579 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 583 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 610 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 660 , 'volatile' is not thread-safe.
data_overflow.c , 358 , 'volatile' is not thread-safe.
livelock.c , 38 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 55 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 62 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 63 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 65 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 65 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 66 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 66 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 68 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 69 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 73 , 'volatile' is not thread-safe.
ptr_subtraction.c , 42 , 'volatile' is not thread-safe.
not_return.c , 112 , 'volatile' is not thread-safe.
underrun_st.c , 199 , 'volatile' is not thread-safe.
sign_conv.c , 270 , 'volatile' is not thread-safe.
buffer_overrun_dynamic.c , 23 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 40 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 56 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 75 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 90 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 108 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 126 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 196 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 216 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 231 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 246 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 261 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 276 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 296 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 310 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 331 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 348 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 367 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 383 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 400 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 417 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 443 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 458 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 478 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 494 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 530 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 576 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 603 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 616 , 'volatile' is not thread-safe.
stubs.c , 10 , The associated header file of .cpp files should be included before any other includes.
uninit_pointer.c , 217 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 280 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 283 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 304 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 314 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 333 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 399 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 403 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_pointer.c , 418 , 'volatile' is not thread-safe.
data_lost.c , 264 , 'volatile' is not thread-safe.
uninit_memory_access.c , 37 , Prefer `nullptr' to `NULL' in new C++ code.
uninit_memory_access.c , 52 , Prefer `nullptr' to `NULL' in new C++ code.
