File, Line, Error
bit_shift.c , 245 , 'volatile' is not thread-safe.
invalid_memory_access.c , 34 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 36 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 47 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 67 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 72 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 79 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 82 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 87 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 103 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 108 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 124 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 128 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 133 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 154 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 158 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 177 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 185 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 187 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 189 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 191 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 193 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 195 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 215 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 218 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 230 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 234 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 266 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 268 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 271 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 316 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 351 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 363 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 414 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 426 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 450 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 482 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 489 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 507 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 508 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 512 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 526 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 593 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 597 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 621 , Prefer `nullptr' to `NULL' in new C++ code.
invalid_memory_access.c , 674 , 'volatile' is not thread-safe.
data_overflow.c , 360 , 'volatile' is not thread-safe.
livelock.c , 40 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 58 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 65 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 66 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 68 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 68 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 69 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 69 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 71 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 72 , Prefer `nullptr' to `NULL' in new C++ code.
livelock.c , 76 , 'volatile' is not thread-safe.
ptr_subtraction.c , 43 , 'volatile' is not thread-safe.
not_return.c , 119 , 'volatile' is not thread-safe.
underrun_st.c , 205 , 'volatile' is not thread-safe.
sign_conv.c , 270 , 'volatile' is not thread-safe.
buffer_overrun_dynamic.c , 22 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 39 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 55 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 74 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 89 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 107 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 125 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 195 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 215 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 230 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 245 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 260 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 275 , Prefer `nullptr' to `NULL' in new C++ code.
buffer_overrun_dynamic.c , 295 , Prefer `nullptr' to `NULL' in new C++ code.
