File, Line, Error
data_overflow.c , 332 , [kernel] warning: Floating-point constant 3.40282347e+38F is not represented exactly. Will use 0x1.fffffe0000000p127. See documentation for option -warn-decimal-float
not_return.c , 20 , [kernel] warning: Body of function not_return_001_func_001 falls-through. Adding a return statement
not_return.c , 39 , [kernel] warning: Body of function not_return_002_func_001 falls-through. Adding a return statement
not_return.c , 74 , [kernel] warning: Body of function not_return_003_func_001 falls-through. Adding a return statement
not_return.c , 98 , [kernel] warning: Body of function not_return_004_func_001 falls-through. Adding a return statement
sleep_lock.c , 50 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
sleep_lock.c , 106 , [kernel] warning: Calling undeclared function htons. Old style K&R code?
sleep_lock.c , 112 , [kernel] warning: Calling undeclared function close. Old style K&R code?
lock_never_unlock.c , 246 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
race_condition.c , 410 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
unlock_without_lock.c , 300 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
st_cross_thread_access.c , 81 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
uninit_memory_access.c , 27 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned long to long.
uninit_memory_access.c , 313 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned int to size_t.
memory_allocation_failure.c , 262 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned int to size_t.
double_lock.c , 198 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from long to unsigned long.
double_lock.c , 212 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from long to unsigned long.
main.c , 19 , [value] warning: out of bounds read. assert \valid_read(argv + 1);
main.c , 22 , [value] warning: out of bounds read. assert \valid_read(argv + 1);
bit_shift.c , 22 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
bit_shift.c , 34 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
bit_shift.c , 46 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
bit_shift.c , 58 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
bit_shift.c , 70 , [value] warning: invalid RHS operand for shift. assert 0 ≤ (int)(-1) < 32;
bit_shift.c , 82 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
bit_shift.c , 94 , [value] warning: invalid RHS operand for shift. assert 0 ≤ (int)(-1) < 32;
bit_shift.c , 107 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shift < 32;
bit_shift.c , 121 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shift < 32;
bit_shift.c , 121 , [value] warning: signed overflow. assert a_4 << shift ≤ 2147483647;
bit_shift.c , 134 , [value] warning: invalid RHS operand for shift. assert 0 ≤ (int)((int)(5 * shift) + 2) < 32;
bit_shift.c , 147 , [value] warning: invalid RHS operand for shift.
bit_shift.c , 164 , [value] warning: invalid RHS operand for shift.
bit_shift.c , 176 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shift < 32;
bit_shift.c , 194 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shifts[3] < 32;
bit_shift.c , 209 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shift1 < 32;
bit_shift.c , 226 , [value] warning: invalid RHS operand for shift. assert 0 ≤ shift2 < 32;
bit_shift.c , 237 , [value] warning: invalid RHS operand for shift. assert 0 ≤ 32 < 32;
