File, Line, Error
data_overflow.c , 333 , [kernel] warning: Floating-point constant 3.40282326e+38F is not represented exactly. Will use 0x1.fffffc0000000p127. See documentation for option -warn-decimal-float
lock_never_unlock.c , 249 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
race_condition.c , 458 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
unlock_without_lock.c , 295 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
st_cross_thread_access.c , 82 , [kernel] warning: Calling undeclared function sleep. Old style K&R code?
uninit_memory_access.c , 27 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned long to long.
uninit_memory_access.c , 325 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned int to size_t.
memory_allocation_failure.c , 271 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from unsigned int to size_t.
double_lock.c , 47 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from int to unsigned int.
double_lock.c , 201 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from long to unsigned long.
double_lock.c , 216 , [variadic] warning: Incorrect type for argument 2. The argument will be cast from long to unsigned long.
main.c , 19 , [value] warning: out of bounds read. assert \valid_read(argv + 1);
main.c , 22 , [value] warning: out of bounds read. assert \valid_read(argv + 1);
bit_shift.c , 121 , [value] warning: signed overflow. assert a_4 << shift ≤ 2147483647;
buffer_overrun_dynamic.c , 20 , [value] allocating variable __calloc_dynamic_buffer_overrun_001_l20
buffer_overrun_dynamic.c , 24 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 38 , [value] allocating variable __calloc_dynamic_buffer_overrun_002_l38
buffer_overrun_dynamic.c , 52 , [value] allocating variable __calloc_dynamic_buffer_overrun_003_l52
buffer_overrun_dynamic.c , 57 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 73 , [value] allocating variable __calloc_dynamic_buffer_overrun_004_l73
buffer_overrun_dynamic.c , 87 , [value] allocating variable __calloc_dynamic_buffer_overrun_005_l87
buffer_overrun_dynamic.c , 91 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 105 , [value] allocating variable __calloc_dynamic_buffer_overrun_006_l105
buffer_overrun_dynamic.c , 109 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 123 , [value] allocating variable __calloc_dynamic_buffer_overrun_007_l123
buffer_overrun_dynamic.c , 127 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 141 , [value] allocating variable __calloc_dynamic_buffer_overrun_008_l141
buffer_overrun_dynamic.c , 144 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 145 , [value] allocating variable __calloc_dynamic_buffer_overrun_008_l145
buffer_overrun_dynamic.c , 145 , [value] warning: out of bounds write. assert \valid(buf_2 + i);
buffer_overrun_dynamic.c , 147 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 149 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 151 , [value] warning: out of bounds read. assert \valid_read(buf_2 + i);
buffer_overrun_dynamic.c , 151 , [value] warning: out of bounds write. assert \valid(*(buf_2 + i) + j);
buffer_overrun_dynamic.c , 153 , [value] warning: out of bounds read. assert \valid_read(buf_2 + i);
buffer_overrun_dynamic.c , 151 , [value] warning: accessing left-value that contains escaping addresses.
buffer_overrun_dynamic.c , 153 , [value] warning: accessing left-value that contains escaping addresses.
buffer_overrun_dynamic.c , 164 , [value] allocating variable __calloc_dynamic_buffer_overrun_009_l164
buffer_overrun_dynamic.c , 165 , [value] allocating variable __calloc_dynamic_buffer_overrun_009_l165
buffer_overrun_dynamic.c , 166 , [value] allocating variable __calloc_dynamic_buffer_overrun_009_l166
buffer_overrun_dynamic.c , 167 , [value] allocating variable __calloc_dynamic_buffer_overrun_009_l167
buffer_overrun_dynamic.c , 168 , [value] allocating variable __calloc_dynamic_buffer_overrun_009_l168
buffer_overrun_dynamic.c , 171 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 173 , [value] warning: out of bounds write. assert \valid(*(pbuf_0[i]) + j);
buffer_overrun_dynamic.c , 194 , [value] allocating variable __calloc_dynamic_buffer_overrun_010_l194
buffer_overrun_dynamic.c , 214 , [value] allocating variable __calloc_dynamic_buffer_overrun_011_l214
buffer_overrun_dynamic.c , 228 , [value] allocating variable __calloc_dynamic_buffer_overrun_012_l228
buffer_overrun_dynamic.c , 243 , [value] allocating variable __calloc_dynamic_buffer_overrun_013_l243
buffer_overrun_dynamic.c , 258 , [value] allocating variable __calloc_dynamic_buffer_overrun_014_l258
buffer_overrun_dynamic.c , 273 , [value] allocating variable __calloc_dynamic_buffer_overrun_015_l273
buffer_overrun_dynamic.c , 294 , [value] allocating variable __calloc_dynamic_buffer_overrun_016_l294
buffer_overrun_dynamic.c , 308 , [value] allocating variable __calloc_dynamic_buffer_overrun_017_func_001_l308
buffer_overrun_dynamic.c , 327 , [value] allocating variable __calloc_dynamic_buffer_overrun_018_l327
buffer_overrun_dynamic.c , 343 , [value] allocating variable __calloc_dynamic_buffer_overrun_019_l343
buffer_overrun_dynamic.c , 360 , [value] allocating variable __calloc_dynamic_buffer_overrun_020_l360
buffer_overrun_dynamic.c , 379 , [value] allocating variable __calloc_dynamic_buffer_overrun_021_l379
buffer_overrun_dynamic.c , 397 , [value] allocating variable __calloc_dynamic_buffer_overrun_022_l397
buffer_overrun_dynamic.c , 413 , [value] allocating variable __calloc_dynamic_buffer_overrun_023_l413
buffer_overrun_dynamic.c , 419 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 421 , [value] warning: out of bounds write. assert \valid(p_0);
buffer_overrun_dynamic.c , 439 , [value] allocating variable __calloc_dynamic_buffer_overrun_024_l439
buffer_overrun_dynamic.c , 434 , [value] warning: out of bounds write. assert \valid(buf_2 + 4);
buffer_overrun_dynamic.c , 455 , [value] allocating variable __calloc_dynamic_buffer_overrun_025_l455
buffer_overrun_dynamic.c , 459 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 474 , [value] allocating variable __calloc_dynamic_buffer_overrun_026_l474
buffer_overrun_dynamic.c , 479 , [value] warning: out of bounds write. assert \valid(p_0 + 0);
buffer_overrun_dynamic.c , 490 , [value] allocating variable __calloc_dynamic_buffer_overrun_027_l490
buffer_overrun_dynamic.c , 495 , [value] warning: out of bounds write. assert \valid(p_0 + 1);
buffer_overrun_dynamic.c , 506 , [value] allocating variable __calloc_dynamic_buffer_overrun_028_l506
buffer_overrun_dynamic.c , 507 , [value] allocating variable __calloc_dynamic_buffer_overrun_028_l507
buffer_overrun_dynamic.c , 509 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 511 , [value] warning: out of bounds write. assert \valid(buf1_0 + i);
buffer_overrun_dynamic.c , 513 , [value] warning: out of bounds read. assert \valid_read(buf1_0 + 2);
buffer_overrun_dynamic.c , 513 , [value] warning: out of bounds write. assert \valid(buf2_0 + *(buf1_0 + 2));
buffer_overrun_dynamic.c , 526 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 528 , [value] allocating variable __malloc_dynamic_buffer_overrun_029_l528
buffer_overrun_dynamic.c , 546 , [value] allocating variable __malloc_dynamic_buffer_overrun_030_l546
buffer_overrun_dynamic.c , 548 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 550 , [value] allocating variable __malloc_dynamic_buffer_overrun_030_l550
buffer_overrun_dynamic.c , 550 , [value] warning: out of bounds write. assert \valid(doubleptr + i);
buffer_overrun_dynamic.c , 554 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 556 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 558 , [value] warning: accessing uninitialized left-value. assert \initialized(doubleptr + i);
buffer_overrun_dynamic.c , 558 , [value] warning: out of bounds read. assert \valid_read(doubleptr + i);
buffer_overrun_dynamic.c , 558 , [value] warning: out of bounds write. assert \valid(*(doubleptr + i) + j);
buffer_overrun_dynamic.c , 560 , [value] warning: accessing uninitialized left-value. assert \initialized(doubleptr + i);
buffer_overrun_dynamic.c , 560 , [value] warning: out of bounds read. assert \valid_read(doubleptr + i);
buffer_overrun_dynamic.c , 558 , [value] warning: accessing left-value that contains escaping addresses.
buffer_overrun_dynamic.c , 560 , [value] warning: accessing left-value that contains escaping addresses.
buffer_overrun_dynamic.c , 572 , [value] allocating variable __calloc_dynamic_buffer_overrun_031_l572
buffer_overrun_dynamic.c , 577 , [value] entering loop for the first time
buffer_overrun_dynamic.c , 582 , [value] cannot evaluate ACSL term, unsupported ACSL construct: logic functions or predicates
