File, Line, Error
deletion_of_data_structure_sentinel.c , 26 , "pointer `foo` last assigned on line 23 could be null and is dereferenced at line 26, column 3"
double_free.c , 22 , "pointer `ptr` last assigned on line 19 was freed by call to `free()` at line 20, column 2 and is dereferenced or freed at line 22, column 2"
double_free.c , 43 , "pointer `ptr` last assigned on line 32 was freed by call to `free()` at line 40, column 4 and is dereferenced or freed at line 43, column 2"
double_free.c , 37 , "pointer `ptr` last assigned on line 32 could be null and is dereferenced at line 37, column 3"
double_free.c , 64 , "pointer `ptr` last assigned on line 53 was freed by call to `free()` at line 61, column 4 and is dereferenced or freed at line 64, column 2"
double_free.c , 87 , "pointer `ptr` last assigned on line 74 was freed by call to `free()` at line 83, column 3 and is dereferenced or freed at line 87, column 2"
double_free.c , 101 , "pointer `ptr` last assigned on line 97 was freed by call to `free()` at line 98, column 2 and is dereferenced or freed at line 101, column 2"
double_free.c , 115 , "pointer `ptr` last assigned on line 111 was freed by call to `free()` at line 113, column 2 and is dereferenced or freed at line 115, column 2"
double_free.c , 131 , "pointer `ptr` last assigned on line 125 was freed by call to `free()` at line 129, column 2 and is dereferenced or freed at line 131, column 2"
double_free.c , 168 , "pointer `ptr` last assigned on line 160 was freed by call to `free()` at line 165, column 3 and is dereferenced or freed at line 168, column 2"
double_free.c , 187 , "pointer `ptr` last assigned on line 179 was freed by call to `free()` at line 184, column 3 and is dereferenced or freed at line 187, column 2"
double_free.c , 204 , "pointer `ptr` last assigned on line 198 was freed by call to `free()` at line 204, column 3 and is dereferenced or freed at line 204, column 3"
double_free.c , 222 , "pointer `ptr` last assigned on line 217 was freed by call to `free()` at line 222, column 3 and is dereferenced or freed at line 222, column 3"
buffer_overrun_dynamic.c , 146 , "pointer `buf` last assigned on line 142 could be null and is dereferenced at line 146, column 3"
buffer_overrun_dynamic.c , 551 , "pointer `doubleptr` last assigned on line 547 could be null and is dereferenced at line 551, column 3"
buffer_underrun_dynamic.c , 149 , "pointer `buf` last assigned on line 145 could be null and is dereferenced at line 149, column 3"
buffer_underrun_dynamic.c , 551 , "pointer `doubleptr` last assigned on line 547 could be null and is dereferenced at line 551, column 3"
buffer_underrun_dynamic.c , 669 , "pointer `doubleptr` last assigned on line 666 could be null and is dereferenced at line 669, column 2"
free_nondynamically_allocated_memory.c , 22 , "Constant string `"a"` is freed by a call to `free()` at line 22, column 2"
free_nondynamically_allocated_memory.c , 36 , "Constant string `"a"` is freed by a call to `free()` at line 36, column 2"
free_nondynamically_allocated_memory.c , 48 , "Constant string `"STRING"` is freed by a call to `free()` at line 48, column 2"
free_nondynamically_allocated_memory.c , 62 , "Stack variable `ptr1` is freed by a call to `free()` at line 62, column 2"
free_nondynamically_allocated_memory.c , 86 , "Stack variable `pbuf` is freed by a call to `free()` at line 86, column 2"
free_nondynamically_allocated_memory.c , 103 , "Stack variable `d` is freed by a call to `free()` at line 103, column 2"
free_nondynamically_allocated_memory.c , 115 , "Constant string `"a"` is freed by a call to `free()` at line 115, column 2"
free_nondynamically_allocated_memory.c , 128 , "Constant string `"a"` is freed by a call to `free()` at line 128, column 2"
free_nondynamically_allocated_memory.c , 141 , "Constant string `"s"` is freed by a call to `free()` at line 141, column 2"
free_nondynamically_allocated_memory.c , 155 , "Constant string `"k"` is freed by a call to `free()` at line 155, column 3"
free_nondynamically_allocated_memory.c , 170 , "Constant string `"l"` is freed by a call to `free()` at line 170, column 3"
free_nondynamically_allocated_memory.c , 187 , "Constant string `"a"` is freed by a call to `free()` at line 187, column 3"
free_nondynamically_allocated_memory.c , 208 , "pointer `new_struct` last assigned on line 206 could be null and is dereferenced at line 208, column 2"
free_nondynamically_allocated_memory.c , 209 , "Stack variable `str` is freed by a call to `free()` at line 209, column 2"
free_nondynamically_allocated_memory.c , 229 , "Stack variable `free_nondynamic_allocated_memory_st` is freed by a call to `free()` at line 229, column 2"
free_nondynamically_allocated_memory.c , 245 , "Constant string `"STRING"` is freed by a call to `free_nondynamic_allocated_memory_015_func_001()` at line 245, column 2"
free_nondynamically_allocated_memory.c , 269 , "Constant string `"STRING"` is freed by a call to `free_nondynamic_allocated_memory_016_func_002()` at line 269, column 2"
free_null_pointer.c , 54 , "pointer `buf` last assigned on line 53 could be null and is dereferenced at line 54, column 4"
free_null_pointer.c , 74 , "pointer `fptr` last assigned on line 69 could be null and is dereferenced at line 74, column 2"
free_null_pointer.c , 109 , "pointer `free_null_pointer_005_gbl_ptr` last assigned on line 108 could be null and is dereferenced by call to `strcpy()` at line 109, column 2"
free_null_pointer.c , 177 , "pointer `free_null_pointer_007_gbl_doubleptr` last assigned on line 173 could be null and is dereferenced at line 177, column 3"
free_null_pointer.c , 241 , "pointer `str1` last assigned on line 239 could be null and is dereferenced by call to `strcpy()` at line 241, column 2"
free_null_pointer.c , 275 , "pointer `free_null_pointer_009dst` last assigned on line 272 could be null and is dereferenced at line 275, column 14"
func_pointer.c , 101 , "pointer `str_rev` last assigned on line 98 could be null and is dereferenced at line 101, column 13"
func_pointer.c , 103 , "pointer `str_rev` last assigned on line 98 could be null and is dereferenced at line 103, column 9"
func_pointer.c , 177 , "pointer `doubleptr` last assigned on line 166 could be null and is dereferenced at line 177, column 8"
func_pointer.c , 151 , "pointer `doubleptr` last assigned on line 147 could be null and is dereferenced at line 151, column 3"
func_pointer.c , 210 , "pointer `doubleptr` last assigned on line 206 could be null and is dereferenced at line 210, column 3"
func_pointer.c , 353 , "pointer `p` last assigned on line 349 could be null and is dereferenced at line 353, column 8"
func_pointer.c , 338 , "pointer `u` last assigned on line 337 could be null and is dereferenced at line 338, column 4"
func_pointer.c , 397 , "pointer `str_rev` last assigned on line 392 could be null and is dereferenced at line 397, column 9"
func_pointer.c , 395 , "pointer `str_rev` last assigned on line 392 could be null and is dereferenced at line 395, column 13"
func_pointer.c , 438 , "pointer `p` last assigned on line 437 could be null and is dereferenced by call to `memcpy()` at line 438, column 2"
func_pointer.c , 607 , " memory dynamically allocated to `st1` by call to `malloc()` at line 600, column 34 is not reachable after line 607, column 2"
func_pointer.c , 601 , "pointer `st1` last assigned on line 600 could be null and is dereferenced by call to `memset()` at line 601, column 5"
invalid_memory_access.c , 45 , "pointer `` was freed by call to `free()` at line 41, column 6 and is dereferenced or freed at line 45, column 10"
invalid_memory_access.c , 84 , "pointer `` was freed by call to `free()` at line 76, column 6 and is dereferenced or freed at line 84, column 10"
invalid_memory_access.c , 201 , "pointer `ptr` last assigned on line 197 could be null and is dereferenced at line 201, column 3"
invalid_memory_access.c , 210 , "pointer `` was freed by call to `free()` at line 209, column 2 and is dereferenced or freed at line 210, column 9"
invalid_memory_access.c , 224 , "pointer `buf` last assigned on line 219 was freed by call to `free()` at line 223, column 2 and is dereferenced or freed at line 224, column 2"
invalid_memory_access.c , 294 , "pointer `` was freed by call to `free()` at line 293, column 2 and is dereferenced or freed at line 294, column 2"
invalid_memory_access.c , 320 , "pointer `` was freed by call to `free()` at line 315, column 9 and is dereferenced or freed at line 320, column 3"
invalid_memory_access.c , 371 , "pointer `s` last assigned on line 337 could be null and is dereferenced at line 371, column 12"
invalid_memory_access.c , 371 , "pointer `s` last assigned on line 337 was freed by call to `free()` at line 367, column 4 and is dereferenced or freed at line 371, column 12"
invalid_memory_access.c , 454 , "pointer `invalid_memory_access_013_s_001_s_gbl` last assigned on line 453 could be null and is dereferenced by call to `invalid_memory_access_013_func_002()` at line 454, column 8"
invalid_memory_access.c , 432 , "pointer `invalid_memory_access_013_s_001_s_gbl` last accessed on line 405 was freed by call to `free()` at line 411, column 5 and is dereferenced or freed at line 432, column 9"
invalid_memory_access.c , 590 , "pointer `invalid_memory_access_016_doubleptr_gbl` last accessed on line 579 was freed by call to `free()` at line 586, column 6 and is dereferenced or freed at line 590, column 3"
invalid_memory_access.c , 560 , "pointer `*invalid_memory_access_016_doubleptr_gbl[i]` last assigned on line 559 could be null and is dereferenced by call to `strcpy()` at line 560, column 10"
invalid_memory_access.c , 559 , "pointer `invalid_memory_access_016_doubleptr_gbl` last assigned on line 556 could be null and is dereferenced at line 559, column 7"
invalid_memory_access.c , 652 , "pointer `invalid_memory_access_017_doubleptr_gbl` was freed by call to `invalid_memory_access_017_func_003()` at line 643, column 3 and is dereferenced or freed at line 652, column 3"
memory_allocation_failure.c , 45 , " memory dynamically allocated to `buf` by call to `calloc()` at line 42, column 15 is not reachable after line 45, column 8"
memory_allocation_failure.c , 183 , "pointer `*memory_allocation_failure_006_gbl_doubleptr[i]` last assigned on line 182 could be null and is dereferenced at line 183, column 7"
memory_allocation_failure.c , 182 , "pointer `memory_allocation_failure_006_gbl_doubleptr` last assigned on line 179 could be null and is dereferenced at line 182, column 7"
memory_allocation_failure.c , 242 , " memory dynamically allocated to `memory_allocation_failure_007_str_gbl` by call to `memory_allocation_failure_007_func_001()` at line 242, column 50 is not reachable after line 242, column 50"
memory_allocation_failure.c , 268 , " memory dynamically allocated by call to `memory_allocation_failure_008_func_001()` at line 268, column 2 is not reachable after line 268, column 2"
memory_allocation_failure.c , 282 , " memory dynamically allocated to `buf` by call to `malloc()` at line 282, column 20 is not reachable after line 282, column 6"
memory_allocation_failure.c , 321 , " memory dynamically allocated to `memory_allocation_failure_010_arr_gbl` by call to `malloc()` at line 321, column 84 is not reachable after line 321, column 4"
memory_allocation_failure.c , 386 , "pointer `memory_allocation_failure_011_gbl_u1` last assigned on line 385 could be null and is dereferenced at line 386, column 2"
memory_allocation_failure.c , 487 , "pointer `dptr` last assigned on line 482 could be null and is dereferenced at line 487, column 15"
memory_leak.c , 28 , " memory dynamically allocated to `buf` by call to `calloc()` at line 25, column 15 is not reachable after line 28, column 3"
memory_leak.c , 245 , " memory dynamically allocated to `p1` by call to `calloc()` at line 245, column 19 is not reachable after line 245, column 2"
memory_leak.c , 276 , " memory dynamically allocated to `un.u1` by call to `calloc()` at line 267, column 19 is not reachable after line 276, column 6"
memory_leak.c , 308 , " memory dynamically allocated to `p` by call to `malloc()` at line 308, column 62 is not reachable after line 308, column 2"
memory_leak.c , 349 , "pointer `p` last assigned on line 348 could be null and is dereferenced at line 349, column 2"
memory_leak.c , 402 , " memory dynamically allocated to `str1` by call to `memory_leak_0015_func_001()` at line 399, column 15 is not reachable after line 402, column 6"
memory_leak.c , 424 , "pointer `memory_leak_0016_gbl_ptr` last assigned on line 423 could be null and is dereferenced by call to `strcpy()` at line 424, column 2"
memory_leak.c , 449 , "pointer `memory_leak_0017_gbl_doubleptr` last assigned on line 445 could be null and is dereferenced at line 449, column 3"
