File, Line, Error
bit_shift.c , 22 , " shift count >= width of type"
bit_shift.c , 46 , " shift count >= width of type"
bit_shift.c , 70 , " shift count is negative"
bit_shift.c , 82 , " shift count >= width of type"
bit_shift.c , 94 , " shift count is negative"
bit_shift.c , 237 , " shift count >= width of type"
invalid_memory_access.c , 33 , " pointer/integer type mismatch in conditional expression ('int *' and 'int')"
data_overflow.c , 319 , " overflow in expression; result is -2147483648 with type 'int'"
not_return.c , 24 , " control may reach end of non-void function"
not_return.c , 50 , " control may reach end of non-void function"
not_return.c , 76 , " control may reach end of non-void function"
not_return.c , 99 , " control may reach end of non-void function"
underrun_st.c , 21 , " array index -1 is before the beginning of the array"
underrun_st.c , 31 , " array index -1 is before the beginning of the array"
stubs.c , 36 , " '/*' within block comment"
return_local.c , 19 , " address of stack memory associated with local variable 'buf' returned"
sleep_lock.c , 28 , " 'NULL' macro redefined"
overrun_st.c , 21 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 32 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 44 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 55 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 66 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 77 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 88 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 158 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 706 , " array index 5 is past the end of the array (which contains 5 elements)"
overrun_st.c , 749 , " array index 5 is past the end of the array (which contains 5 elements)"
data_underflow.c , 82 , " overflow in expression; result is 2147483647 with type 'int'"
cmp_funcadr.c , 26 , " comparison of function 'cmp_funcadr_001_func_001' equal to a null pointer is always false"
cmp_funcadr.c , 48 , " comparison of function 'cmp_funcadr_002_func_001' equal to a null pointer is always false"
zero_division.c , 23 , " division by zero is undefined"
zero_division.c , 34 , " division by zero is undefined"
zero_division.c , 47 , " remainder by zero is undefined"
improper_termination_of_block.c , 38 , " if statement has empty body"
memory_leak.c , 232 , " implicit conversion from 'double' to 'int' changes value from 1.5 to 1"
bit_shift.c , 20 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 32 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 44 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 56 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 68 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 80 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 92 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 104 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 117 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 131 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 144 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 162 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 174 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 191 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 204 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 219 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 246 , " high ncss method [size|P2] Method of 35 non-commenting source statements exceeds limit of 30"
bit_shift.c , 147 , " long line [size|P3] Line with 101 characters exceeds limit of 100"
bit_shift.c , 164 , " long line [size|P3] Line with 104 characters exceeds limit of 100"
bit_shift.c , 246 , " high npath complexity [size|P2] NPath Complexity Number 129140163 exceeds limit of 200"
bit_shift.c , 246 , " long method [size|P3] Method with 86 lines exceeds limit of 50"
bit_shift.c , 246 , " high cyclomatic complexity [size|P2] Cyclomatic Complexity Number 35 exceeds limit of 10"
invalid_memory_access.c , 476 , " dead code [basic|P2]"
invalid_memory_access.c , 439 , " collapsible if statements [basic|P3]"
invalid_memory_access.c , 151 , " unnecessary else statement [redundant|P3]"
invalid_memory_access.c , 519 , " unnecessary else statement [redundant|P3]"
invalid_memory_access.c , 102 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 205 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 210 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 560 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 568 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 611 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 622 , " constant conditional operator [basic|P2]"
invalid_memory_access.c , 30 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 57 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 95 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 96 , " short variable name [naming|P3] Length of variable name `c` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 174 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 174 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 198 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 255 , " short variable name [naming|P3] Length of variable name `u` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 256 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 280 , " short variable name [naming|P3] Length of variable name `p` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 287 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 303 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 303 , " short variable name [naming|P3] Length of variable name `j` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 336 , " short variable name [naming|P3] Length of variable name `s` is 1, which is shorter than the threshold of 3"
invalid_memory_access.c , 338 , " short variable name [naming|P3] Length of variable name `i` is 1, which is shorter than the threshold of 3"
