File, Line, Error
bit_shift.c , 20 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 32 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 44 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 56 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 68 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 80 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 92 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 104 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 117 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 131 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 144 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 162 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 174 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 191 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 204 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 219 , " short variable name [naming|P3] Length of variable name `a` is 1, which is shorter than the threshold of 3"
bit_shift.c , 246 , " high ncss method [size|P2] Method of 35 non-commenting source statements exceeds limit of 30"
bit_shift.c , 134 , " long line [size|P3] Line with 104 characters exceeds limit of 100"
bit_shift.c , 147 , " long line [size|P3] Line with 108 characters exceeds limit of 100"
bit_shift.c , 164 , " long line [size|P3] Line with 111 characters exceeds limit of 100"
