File,Line,CWE, Defect Type, Defect Sub-Type
bit_shift.c, 22,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 34,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 46,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 58,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 70,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 82,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 94,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 107,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 121,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 134,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 147,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 164,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 176,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 194,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 209,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 226,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 237,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
buffer_overrun_dynamic.c, 27,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 42,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 62,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 77,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 94,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 112,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 130,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 152,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 174,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 198,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 218,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 233,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 248,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 263,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 278,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 298,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 312,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 333,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 350,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 369,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 387,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 403,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 422,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 435,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 462,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 480,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 496,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 514,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 532,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 559,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 580,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 607,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
