File,Line,CWE, Defect Type, Defect Sub-Type
bit_shift.c, 22,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 34,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 46,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 58,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 70,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 82,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 94,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 107,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 121,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 134,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 147,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 164,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 176,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 194,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 209,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 226,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
bit_shift.c, 237,  Numeric Errors,  Numerical defects,  Bit shift bigger than integral type or negative
buffer_overrun_dynamic.c, 26,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 41,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 61,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 76,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 93,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 111,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 129,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 151,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 173,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 197,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 217,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 232,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 247,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 262,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 277,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 297,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 311,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 332,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 349,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 368,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 386,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 402,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 421,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 434,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 461,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 479,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 495,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 513,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 531,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 558,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 579,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
buffer_overrun_dynamic.c, 607,  Heap-based Buffer Overflow,  Dynamic memory defects,  Dynamic buffer overrun
