File, Line, Error
improper_error_handling.cpp , 17 ,  warning: non-ANSI function declaration of function 'improper_error_handling_001'
improper_error_handling.cpp , 19 ,  error: Expected ; at end of statement
improper_error_handling.cpp , 19 ,  error: got {
improper_error_handling.cpp , 30 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 30 ,  error: got }
improper_error_handling.cpp , 41 ,  error: Expected ) in function declarator
improper_error_handling.cpp , 41 ,  error: got ==
improper_error_handling.cpp , 41 ,  error: Trying to use reserved word 'if' as identifier
improper_error_handling.cpp , 43 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 43 ,  error: got }
improper_error_handling.cpp , 47 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 47 ,  error: got }
improper_error_handling.cpp , 60 ,  error: Expected ) in function declarator
improper_error_handling.cpp , 60 ,  error: got ==
improper_error_handling.cpp , 60 ,  error: Trying to use reserved word 'if' as identifier
improper_error_handling.cpp , 64 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 64 ,  error: got }
improper_error_handling.cpp , 69 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 69 ,  error: got }
improper_error_handling.cpp , 84 ,  error: Expected ) in function declarator
improper_error_handling.cpp , 84 ,  error: got ==
improper_error_handling.cpp , 84 ,  error: Trying to use reserved word 'if' as identifier
improper_error_handling.cpp , 88 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 88 ,  error: got }
improper_error_handling.cpp , 92 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 92 ,  error: got }
improper_error_handling.cpp , 97 ,  error: Expected ) in function declarator
improper_error_handling.cpp , 97 ,  error: got 1
improper_error_handling.cpp , 98 ,  error: Expected ; at the end of type declaration
improper_error_handling.cpp , 98 ,  error: got }
improper_error_handling.cpp , 19 ,  error: undefined identifier 'try'
improper_error_handling.cpp , 21 ,  error: undefined identifier 'a'
improper_error_handling.cpp , 22 ,  error: undefined identifier 'c'
improper_error_handling.cpp , 42 ,  error: undefined identifier 'b'
improper_error_handling.cpp , 63 ,  error: undefined identifier 'b'
improper_error_handling.cpp , 87 ,  error: undefined identifier 'b'
improper_error_handling.cpp , 108 ,  error: undefined identifier 'vflag'
improper_error_handling.cpp , 113 ,  error: undefined identifier 'vflag'
improper_error_handling.cpp , 115 ,  error: undefined identifier 'improper_error_handling_002'
improper_error_handling.cpp , 118 ,  error: undefined identifier 'vflag'
improper_error_handling.cpp , 120 ,  error: undefined identifier 'improper_error_handling_003'
improper_error_handling.cpp , 123 ,  error: undefined identifier 'vflag'
improper_error_handling.cpp , 125 ,  error: undefined identifier 'improper_error_handling_004'
