File, Line, Error
bit_shift.c , 22 ,  Left operand of << may be negative (int): a << 32
bit_shift.c , 34 ,  Left operand of << may be negative (long int): a << 32
bit_shift.c , 35 ,  Assignment of long int to int: sink = ret
bit_shift.c , 47 ,  Assignment of unsigned int to int: sink = ret
bit_shift.c , 59 ,  Assignment of unsigned long int to int: sink = ret
bit_shift.c , 70 ,  Right operand of << may be negative (int): a << -1
bit_shift.c , 70 ,  Left operand of << may be negative (int): a << -1
bit_shift.c , 82 ,  Left operand of >> may be negative (int): a >> 32
bit_shift.c , 94 ,  Right operand of >> may be negative (int): a >> -1
bit_shift.c , 94 ,  Left operand of >> may be negative (int): a >> -1
bit_shift.c , 107 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 107 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 121 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 121 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 134 ,  Right operand of << may be negative (int):
bit_shift.c , 134 ,  Left operand of << may be negative (int):
bit_shift.c , 147 ,  Right operand of << may be negative (int):
bit_shift.c , 147 ,  Left operand of << may be negative (int):
bit_shift.c , 164 ,  Right operand of << may be negative (int):
bit_shift.c , 164 ,  Left operand of << may be negative (int):
bit_shift.c , 176 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 176 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 194 ,  Right operand of << may be negative (int): a << shifts[3]
bit_shift.c , 194 ,  Left operand of << may be negative (int): a << shifts[3]
bit_shift.c , 209 ,  Right operand of << may be negative (int): a << shift1
bit_shift.c , 209 ,  Left operand of << may be negative (int): a << shift1
bit_shift.c , 226 ,  Right operand of << may be negative (int): a << shift2
bit_shift.c , 226 ,  Left operand of << may be negative (int): a << shift2
bit_shift.c , 18 ,  Function exported but not used outside bit_shift:
bit_shift.c , 24 ,  Definition of bit_shift_001
bit_shift.c , 30 ,  Function exported but not used outside bit_shift:
bit_shift.c , 36 ,  Definition of bit_shift_002
bit_shift.c , 42 ,  Function exported but not used outside bit_shift:
bit_shift.c , 48 ,  Definition of bit_shift_003
bit_shift.c , 54 ,  Function exported but not used outside bit_shift:
bit_shift.c , 60 ,  Definition of bit_shift_004
bit_shift.c , 66 ,  Function exported but not used outside bit_shift:
bit_shift.c , 72 ,  Definition of bit_shift_005
bit_shift.c , 78 ,  Function exported but not used outside bit_shift:
bit_shift.c , 84 ,  Definition of bit_shift_006
bit_shift.c , 90 ,  Function exported but not used outside bit_shift:
bit_shift.c , 96 ,  Definition of bit_shift_007
bit_shift.c , 102 ,  Function exported but not used outside bit_shift:
bit_shift.c , 109 ,  Definition of bit_shift_008
bit_shift.c , 115 ,  Function exported but not used outside bit_shift:
bit_shift.c , 123 ,  Definition of bit_shift_009
bit_shift.c , 129 ,  Function exported but not used outside bit_shift:
bit_shift.c , 136 ,  Definition of bit_shift_010
bit_shift.c , 142 ,  Function exported but not used outside bit_shift:
bit_shift.c , 149 ,  Definition of bit_shift_011
bit_shift.c , 155 ,  Function exported but not used outside bit_shift:
bit_shift.c , 158 ,  Definition of bit_shift_012_func_001
bit_shift.c , 160 ,  Function exported but not used outside bit_shift:
bit_shift.c , 166 ,  Definition of bit_shift_012
bit_shift.c , 172 ,  Function exported but not used outside bit_shift:
bit_shift.c , 178 ,  Definition of bit_shift_013_func_001
bit_shift.c , 180 ,  Function exported but not used outside bit_shift:
bit_shift.c , 183 ,  Definition of bit_shift_013
bit_shift.c , 189 ,  Function exported but not used outside bit_shift:
bit_shift.c , 196 ,  Definition of bit_shift_014
bit_shift.c , 202 ,  Function exported but not used outside bit_shift:
bit_shift.c , 211 ,  Definition of bit_shift_015
bit_shift.c , 217 ,  Function exported but not used outside bit_shift:
bit_shift.c , 228 ,  Definition of bit_shift_016
bit_shift.c , 234 ,  Function exported but not used outside bit_shift:
bit_shift.c , 239 ,  Definition of bit_shift_017
invalid_memory_access.c , 33 ,  Conditional clauses are not of same type:
invalid_memory_access.c , 35 ,  Variable ptr used before definition
invalid_memory_access.c , 42 ,  Variable ptr is released in true branch, but live
invalid_memory_access.c , 42 ,  in true branch:
invalid_memory_access.c , 41 ,  Storage ptr released
invalid_memory_access.c , 42 ,  in continuation:
invalid_memory_access.c , 35 ,  Storage ptr defined
invalid_memory_access.c , 47 ,  Fresh storage ptr not released before return
invalid_memory_access.c , 33 ,  Fresh storage ptr created
invalid_memory_access.c , 64 ,  Variable ptr used before definition
invalid_memory_access.c , 77 ,  Variable dptr is released in false branch, but
invalid_memory_access.c , 77 ,  in false branch:
invalid_memory_access.c , 76 ,  Storage dptr released
invalid_memory_access.c , 77 ,  in true branch:
invalid_memory_access.c , 62 ,  Storage dptr allocated
invalid_memory_access.c , 85 ,  Variable a used before definition
invalid_memory_access.c , 105 ,  Variable buf used after being released
invalid_memory_access.c , 103 ,  Storage buf released
invalid_memory_access.c , 110 ,  Variable c used before definition
invalid_memory_access.c , 111 ,  Function returns with non-null global psink
invalid_memory_access.c , 110 ,  Storage psink may become null
invalid_memory_access.c , 121 ,  Test expression for if not boolean, type int:
invalid_memory_access.c , 126 ,  Function memset expects arg 2 to be int gets
invalid_memory_access.c , 131 ,  Test expression for if not boolean, type int:
invalid_memory_access.c , 133 ,  Variable buf used after being released
invalid_memory_access.c , 128 ,  Storage buf released
invalid_memory_access.c , 133 ,  Possibly null storage buf passed as non-null
invalid_memory_access.c , 120 ,  Storage buf may become null
invalid_memory_access.c , 147 ,  Variable ptr used before definition
invalid_memory_access.c , 152 ,  Function calloc expects arg 1 to be size_t gets
invalid_memory_access.c , 173 ,  Storage buf1 reachable from initial value is
invalid_memory_access.c , 168 ,  Fresh storage buf1 created
invalid_memory_access.c , 173 ,  Storage buf2 reachable from initial value is
invalid_memory_access.c , 169 ,  Fresh storage buf2 created
invalid_memory_access.c , 173 ,  Storage buf3 reachable from initial value is
invalid_memory_access.c , 170 ,  Fresh storage buf3 created
invalid_memory_access.c , 173 ,  Storage buf4 reachable from initial value is
invalid_memory_access.c , 171 ,  Fresh storage buf4 created
invalid_memory_access.c , 173 ,  Storage buf5 reachable from initial value is
invalid_memory_access.c , 172 ,  Fresh storage buf5 created
invalid_memory_access.c , 188 ,  Index of possibly null pointer buf2: buf2
invalid_memory_access.c , 169 ,  Storage buf2 may become null
invalid_memory_access.c , 188 ,  Variable buf2 used after being released
invalid_memory_access.c , 184 ,  Storage buf2 released
invalid_memory_access.c , 201 ,  Index of possibly null pointer ptr: ptr
invalid_memory_access.c , 197 ,  Storage ptr may become null
invalid_memory_access.c , 205 ,  Unallocated storage *ptr passed as out
invalid_memory_access.c , 206 ,  Unallocated storage ptr[] passed as out
invalid_memory_access.c , 210 ,  Variable ptr used after being released
invalid_memory_access.c , 209 ,  Storage ptr released
invalid_memory_access.c , 210 ,  Variable ptr used after being released
invalid_memory_access.c , 209 ,  Storage ptr released
invalid_memory_access.c , 224 ,  Dead storage buf passed as out parameter to
invalid_memory_access.c , 223 ,  Storage buf released
invalid_memory_access.c , 265 ,  Arrow access from possibly null pointer p->s1:
invalid_memory_access.c , 260 ,  Storage p->s1 may become null
invalid_memory_access.c , 265 ,  Field p->s1->a used before definition
invalid_memory_access.c , 267 ,  Arrow access from possibly null pointer u->s1:
invalid_memory_access.c , 260 ,  Storage u->s1 may become null
invalid_memory_access.c , 267 ,  Unallocated storage u->s1->a passed as out
invalid_memory_access.c , 270 ,  Variable p used after being released
invalid_memory_access.c , 269 ,  Storage p released
invalid_memory_access.c , 282 ,  Function returns with possibly null storage
invalid_memory_access.c , 281 ,  Storage *Ptr may become null
invalid_memory_access.c , 282 ,  Function returns storage Ptr reachable from
invalid_memory_access.c , 281 ,  Storage **Ptr allocated
invalid_memory_access.c , 288 ,  Passed storage &ptr1 not completely defined:
invalid_memory_access.c , 294 ,  Variable ptr1 used after being released
invalid_memory_access.c , 293 ,  Storage ptr1 released
invalid_memory_access.c , 294 ,  Variable ptr1 used after being released
invalid_memory_access.c , 293 ,  Storage ptr1 released
invalid_memory_access.c , 320 ,  Variable ptr used in inconsistent state
invalid_memory_access.c , 315 ,  Storage ptr becomes inconsistent (released
invalid_memory_access.c , 320 ,  Variable ptr used in inconsistent state
invalid_memory_access.c , 315 ,  Storage ptr becomes inconsistent (released
HeaderFile.h , 18 ,  Variable sink shadows static declaration
data_overflow.c , 12 ,  Previous definition of sink: int
data_overflow.c , 23 ,  Variable max initialized to type int, expects char: 0x7f
data_overflow.c , 25 ,  Incompatible types for + (char, int): max + 1
data_overflow.c , 26 ,  Assignment of char to int: sink = ret
data_overflow.c , 62 ,  Assignment of long int to int: sink = ret
data_overflow.c , 71 ,  Variable max initialized to type int, expects unsigned
data_overflow.c , 73 ,  Incompatible types for + (unsigned char, int): max + 1
data_overflow.c , 74 ,  Assignment of unsigned char to int: sink = ret
data_overflow.c , 86 ,  Assignment of unsigned short int to int: sink = ret
data_overflow.c , 98 ,  Assignment of unsigned int to int: sink = ret
data_overflow.c , 110 ,  Assignment of unsigned long int to int: sink = ret
data_overflow.c , 336 ,  Assignment of float to int: sink = ret
data_overflow.c , 352 ,  Assignment of double to int: sink = ret
data_overflow.c , 21 ,  Function exported but not used outside data_overflow:
data_overflow.c , 27 ,  Definition of data_overflow_001
data_overflow.c , 33 ,  Function exported but not used outside data_overflow:
data_overflow.c , 39 ,  Definition of data_overflow_002
data_overflow.c , 45 ,  Function exported but not used outside data_overflow:
data_overflow.c , 51 ,  Definition of data_overflow_003
data_overflow.c , 57 ,  Function exported but not used outside data_overflow:
data_overflow.c , 63 ,  Definition of data_overflow_004
data_overflow.c , 69 ,  Function exported but not used outside data_overflow:
data_overflow.c , 75 ,  Definition of data_overflow_005
data_overflow.c , 81 ,  Function exported but not used outside data_overflow:
data_overflow.c , 87 ,  Definition of data_overflow_006
data_overflow.c , 93 ,  Function exported but not used outside data_overflow:
data_overflow.c , 99 ,  Definition of data_overflow_007
data_overflow.c , 105 ,  Function exported but not used outside data_overflow:
data_overflow.c , 111 ,  Definition of data_overflow_008
data_overflow.c , 122 ,  Function exported but not used outside data_overflow:
data_overflow.c , 127 ,  Definition of data_overflow_009
data_overflow.c , 138 ,  Function exported but not used outside data_overflow:
data_overflow.c , 143 ,  Definition of data_overflow_010
data_overflow.c , 149 ,  Function exported but not used outside data_overflow:
data_overflow.c , 156 ,  Definition of data_overflow_011
data_overflow.c , 162 ,  Function exported but not used outside data_overflow:
data_overflow.c , 168 ,  Definition of data_overflow_012
data_overflow.c , 174 ,  Function exported but not used outside data_overflow:
data_overflow.c , 180 ,  Definition of data_overflow_013
data_overflow.c , 186 ,  Function exported but not used outside data_overflow:
data_overflow.c , 193 ,  Definition of data_overflow_014
data_overflow.c , 199 ,  Function exported but not used outside data_overflow:
data_overflow.c , 207 ,  Definition of data_overflow_015
data_overflow.c , 213 ,  Function exported but not used outside data_overflow:
data_overflow.c , 219 ,  Definition of data_overflow_016
data_overflow.c , 225 ,  Function exported but not used outside data_overflow:
data_overflow.c , 231 ,  Definition of data_overflow_017
data_overflow.c , 237 ,  Function exported but not used outside data_overflow:
data_overflow.c , 240 ,  Definition of data_overflow_018_func_001
data_overflow.c , 242 ,  Function exported but not used outside data_overflow:
data_overflow.c , 248 ,  Definition of data_overflow_018
data_overflow.c , 254 ,  Function exported but not used outside data_overflow:
data_overflow.c , 260 ,  Definition of data_overflow_019_func_001
data_overflow.c , 262 ,  Function exported but not used outside data_overflow:
data_overflow.c , 265 ,  Definition of data_overflow_019
data_overflow.c , 271 ,  Function exported but not used outside data_overflow:
data_overflow.c , 278 ,  Definition of data_overflow_020
data_overflow.c , 284 ,  Function exported but not used outside data_overflow:
data_overflow.c , 293 ,  Definition of data_overflow_021
data_overflow.c , 299 ,  Function exported but not used outside data_overflow:
data_overflow.c , 310 ,  Definition of data_overflow_022
data_overflow.c , 316 ,  Function exported but not used outside data_overflow:
data_overflow.c , 321 ,  Definition of data_overflow_023
