File, Line, Error
bit_shift.c , 22 ,  Left operand of << may be negative (int): a << 10
bit_shift.c , 34 ,  Left operand of << may be negative (long int): a << 10
bit_shift.c , 35 ,  Assignment of long int to int: sink = ret
bit_shift.c , 47 ,  Assignment of unsigned int to int: sink = ret
bit_shift.c , 59 ,  Assignment of unsigned long int to int: sink = ret
bit_shift.c , 70 ,  Left operand of << may be negative (int): a << 10
bit_shift.c , 82 ,  Left operand of >> may be negative (int): a >> 10
bit_shift.c , 94 ,  Left operand of >> may be negative (int): a >> 10
bit_shift.c , 107 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 107 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 121 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 121 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 134 ,  Right operand of << may be negative (int):
bit_shift.c , 134 ,  Left operand of << may be negative (int):
bit_shift.c , 147 ,  Right operand of << may be negative (int):
bit_shift.c , 147 ,  Left operand of << may be negative (int):
bit_shift.c , 164 ,  Right operand of << may be negative (int):
bit_shift.c , 164 ,  Left operand of << may be negative (int):
bit_shift.c , 176 ,  Right operand of << may be negative (int): a << shift
bit_shift.c , 176 ,  Left operand of << may be negative (int): a << shift
bit_shift.c , 194 ,  Right operand of << may be negative (int): a << shifts[3]
bit_shift.c , 194 ,  Left operand of << may be negative (int): a << shifts[3]
bit_shift.c , 209 ,  Right operand of << may be negative (int): a << shift1
bit_shift.c , 209 ,  Left operand of << may be negative (int): a << shift1
bit_shift.c , 226 ,  Right operand of << may be negative (int): a << shift2
bit_shift.c , 226 ,  Left operand of << may be negative (int): a << shift2
bit_shift.c , 18 ,  Function exported but not used outside bit_shift:
bit_shift.c , 24 ,  Definition of bit_shift_001
bit_shift.c , 30 ,  Function exported but not used outside bit_shift:
bit_shift.c , 36 ,  Definition of bit_shift_002
bit_shift.c , 42 ,  Function exported but not used outside bit_shift:
bit_shift.c , 48 ,  Definition of bit_shift_003
bit_shift.c , 54 ,  Function exported but not used outside bit_shift:
bit_shift.c , 60 ,  Definition of bit_shift_004
bit_shift.c , 66 ,  Function exported but not used outside bit_shift:
bit_shift.c , 72 ,  Definition of bit_shift_005
bit_shift.c , 78 ,  Function exported but not used outside bit_shift:
bit_shift.c , 84 ,  Definition of bit_shift_006
bit_shift.c , 90 ,  Function exported but not used outside bit_shift:
bit_shift.c , 96 ,  Definition of bit_shift_007
bit_shift.c , 102 ,  Function exported but not used outside bit_shift:
bit_shift.c , 109 ,  Definition of bit_shift_008
bit_shift.c , 115 ,  Function exported but not used outside bit_shift:
bit_shift.c , 123 ,  Definition of bit_shift_009
bit_shift.c , 129 ,  Function exported but not used outside bit_shift:
bit_shift.c , 136 ,  Definition of bit_shift_010
bit_shift.c , 142 ,  Function exported but not used outside bit_shift:
bit_shift.c , 149 ,  Definition of bit_shift_011
bit_shift.c , 155 ,  Function exported but not used outside bit_shift:
bit_shift.c , 158 ,  Definition of bit_shift_012_func_001
bit_shift.c , 160 ,  Function exported but not used outside bit_shift:
bit_shift.c , 166 ,  Definition of bit_shift_012
bit_shift.c , 172 ,  Function exported but not used outside bit_shift:
bit_shift.c , 178 ,  Definition of bit_shift_013_func_001
bit_shift.c , 180 ,  Function exported but not used outside bit_shift:
bit_shift.c , 183 ,  Definition of bit_shift_013
bit_shift.c , 189 ,  Function exported but not used outside bit_shift:
bit_shift.c , 196 ,  Definition of bit_shift_014
bit_shift.c , 202 ,  Function exported but not used outside bit_shift:
bit_shift.c , 211 ,  Definition of bit_shift_015
bit_shift.c , 217 ,  Function exported but not used outside bit_shift:
bit_shift.c , 228 ,  Definition of bit_shift_016
bit_shift.c , 234 ,  Function exported but not used outside bit_shift:
bit_shift.c , 239 ,  Definition of bit_shift_017
invalid_memory_access.c , 41 ,  Value *ptr used before definition
invalid_memory_access.c , 50 ,  Fresh storage ptr not released before return
invalid_memory_access.c , 34 ,  Fresh storage ptr created
invalid_memory_access.c , 67 ,  Variable ptr used before definition
invalid_memory_access.c , 75 ,  Value *dptr used before definition
invalid_memory_access.c , 89 ,  Fresh storage dptr not released before return
invalid_memory_access.c , 65 ,  Fresh storage dptr created
invalid_memory_access.c , 114 ,  Variable c used after being released
invalid_memory_access.c , 107 ,  Storage c released
invalid_memory_access.c , 115 ,  Function returns with non-null global psink
invalid_memory_access.c , 114 ,  Storage psink may become null
invalid_memory_access.c , 125 ,  Test expression for if not boolean, type int:
invalid_memory_access.c , 130 ,  Function memset expects arg 2 to be int gets
invalid_memory_access.c , 153 ,  Function calloc expects arg 1 to be size_t gets
invalid_memory_access.c , 175 ,  Storage buf1 reachable from initial value is
invalid_memory_access.c , 170 ,  Fresh storage buf1 created
invalid_memory_access.c , 175 ,  Storage buf2 reachable from initial value is
invalid_memory_access.c , 171 ,  Fresh storage buf2 created
invalid_memory_access.c , 175 ,  Storage buf3 reachable from initial value is
invalid_memory_access.c , 172 ,  Fresh storage buf3 created
invalid_memory_access.c , 175 ,  Storage buf4 reachable from initial value is
invalid_memory_access.c , 173 ,  Fresh storage buf4 created
invalid_memory_access.c , 175 ,  Storage buf5 reachable from initial value is
invalid_memory_access.c , 174 ,  Fresh storage buf5 created
invalid_memory_access.c , 209 ,  Index of possibly null pointer ptr: ptr
invalid_memory_access.c , 205 ,  Storage ptr may become null
invalid_memory_access.c , 213 ,  Unallocated storage *ptr passed as out
invalid_memory_access.c , 214 ,  Unallocated storage ptr[] passed as out
invalid_memory_access.c , 275 ,  Arrow access from possibly null pointer p->s1:
invalid_memory_access.c , 270 ,  Storage p->s1 may become null
invalid_memory_access.c , 275 ,  Field p->s1->a used before definition
invalid_memory_access.c , 277 ,  Arrow access from possibly null pointer u->s1:
invalid_memory_access.c , 270 ,  Storage u->s1 may become null
invalid_memory_access.c , 277 ,  Unallocated storage u->s1->a passed as out
invalid_memory_access.c , 291 ,  Function returns with possibly null storage
invalid_memory_access.c , 290 ,  Storage *Ptr may become null
invalid_memory_access.c , 291 ,  Function returns storage Ptr reachable from
invalid_memory_access.c , 290 ,  Storage **Ptr allocated
invalid_memory_access.c , 297 ,  Passed storage &ptr1 not completely defined:
HeaderFile.h , 18 ,  Variable sink shadows static declaration
data_overflow.c , 12 ,  Previous definition of sink: int
data_overflow.c , 23 ,  Variable max initialized to type int, expects char: 0x70
data_overflow.c , 25 ,  Incompatible types for + (char, int): max + 2
data_overflow.c , 26 ,  Assignment of char to int: sink = ret
data_overflow.c , 63 ,  Assignment of long int to int: sink = ret
data_overflow.c , 72 ,  Variable max initialized to type int, expects unsigned
data_overflow.c , 74 ,  Incompatible types for + (unsigned char, int): max + 1
data_overflow.c , 75 ,  Assignment of unsigned char to int: sink = ret
data_overflow.c , 87 ,  Assignment of unsigned short int to int: sink = ret
data_overflow.c , 99 ,  Assignment of unsigned int to int: sink = ret
data_overflow.c , 111 ,  Assignment of unsigned long int to int: sink = ret
data_overflow.c , 337 ,  Assignment of float to int: sink = ret
data_overflow.c , 353 ,  Assignment of double to int: sink = ret
data_overflow.c , 21 ,  Function exported but not used outside data_overflow:
data_overflow.c , 27 ,  Definition of data_overflow_001
data_overflow.c , 33 ,  Function exported but not used outside data_overflow:
data_overflow.c , 39 ,  Definition of data_overflow_002
data_overflow.c , 45 ,  Function exported but not used outside data_overflow:
data_overflow.c , 52 ,  Definition of data_overflow_003
data_overflow.c , 58 ,  Function exported but not used outside data_overflow:
data_overflow.c , 64 ,  Definition of data_overflow_004
data_overflow.c , 70 ,  Function exported but not used outside data_overflow:
data_overflow.c , 76 ,  Definition of data_overflow_005
data_overflow.c , 82 ,  Function exported but not used outside data_overflow:
data_overflow.c , 88 ,  Definition of data_overflow_006
data_overflow.c , 94 ,  Function exported but not used outside data_overflow:
data_overflow.c , 100 ,  Definition of data_overflow_007
data_overflow.c , 106 ,  Function exported but not used outside data_overflow:
data_overflow.c , 112 ,  Definition of data_overflow_008
data_overflow.c , 123 ,  Function exported but not used outside data_overflow:
data_overflow.c , 128 ,  Definition of data_overflow_009
data_overflow.c , 139 ,  Function exported but not used outside data_overflow:
data_overflow.c , 144 ,  Definition of data_overflow_010
data_overflow.c , 150 ,  Function exported but not used outside data_overflow:
data_overflow.c , 157 ,  Definition of data_overflow_011
data_overflow.c , 163 ,  Function exported but not used outside data_overflow:
data_overflow.c , 169 ,  Definition of data_overflow_012
data_overflow.c , 175 ,  Function exported but not used outside data_overflow:
data_overflow.c , 181 ,  Definition of data_overflow_013
data_overflow.c , 187 ,  Function exported but not used outside data_overflow:
data_overflow.c , 194 ,  Definition of data_overflow_014
data_overflow.c , 200 ,  Function exported but not used outside data_overflow:
data_overflow.c , 208 ,  Definition of data_overflow_015
data_overflow.c , 214 ,  Function exported but not used outside data_overflow:
data_overflow.c , 220 ,  Definition of data_overflow_016
data_overflow.c , 226 ,  Function exported but not used outside data_overflow:
data_overflow.c , 232 ,  Definition of data_overflow_017
data_overflow.c , 238 ,  Function exported but not used outside data_overflow:
data_overflow.c , 241 ,  Definition of data_overflow_018_func_001
data_overflow.c , 243 ,  Function exported but not used outside data_overflow:
data_overflow.c , 249 ,  Definition of data_overflow_018
data_overflow.c , 255 ,  Function exported but not used outside data_overflow:
data_overflow.c , 261 ,  Definition of data_overflow_019_func_001
data_overflow.c , 263 ,  Function exported but not used outside data_overflow:
data_overflow.c , 266 ,  Definition of data_overflow_019
data_overflow.c , 272 ,  Function exported but not used outside data_overflow:
data_overflow.c , 279 ,  Definition of data_overflow_020
data_overflow.c , 285 ,  Function exported but not used outside data_overflow:
data_overflow.c , 294 ,  Definition of data_overflow_021
data_overflow.c , 300 ,  Function exported but not used outside data_overflow:
data_overflow.c , 311 ,  Definition of data_overflow_022
data_overflow.c , 317 ,  Function exported but not used outside data_overflow:
data_overflow.c , 322 ,  Definition of data_overflow_023
data_overflow.c , 328 ,  Function exported but not used outside data_overflow:
data_overflow.c , 338 ,  Definition of data_overflow_024
data_overflow.c , 344 ,  Function exported but not used outside data_overflow:
data_overflow.c , 354 ,  Definition of data_overflow_025
ptr_subtraction.c , 24 ,  Assignment of intptr_t to int: sink = offset
ptr_subtraction.c , 18 ,  Function exported but not used outside ptr_subtraction:
ptr_subtraction.c , 25 ,  Definition of ptr_subtraction_001
ptr_subtraction.c , 31 ,  Function exported but not used outside ptr_subtraction:
ptr_subtraction.c , 37 ,  Definition of ptr_subtraction_002
not_return.c , 61 ,  Argument 1 modifies internal state, used by argument 2
not_return.c , 61 ,  Argument 2 modifies internal state, used by argument 1
not_return.c , 19 ,  Function exported but not used outside not_return:
not_return.c , 29 ,  Definition of not_return_001_func_001
not_return.c , 31 ,  Function exported but not used outside not_return:
not_return.c , 36 ,  Definition of not_return_001
not_return.c , 42 ,  Function exported but not used outside not_return:
not_return.c , 56 ,  Definition of not_return_002_func_001
not_return.c , 58 ,  Function exported but not used outside not_return:
not_return.c , 63 ,  Definition of not_return_002
not_return.c , 69 ,  Function exported but not used outside not_return:
not_return.c , 82 ,  Definition of not_return_003_func_001
not_return.c , 84 ,  Function exported but not used outside not_return:
not_return.c , 89 ,  Definition of not_return_003
not_return.c , 95 ,  Function exported but not used outside not_return:
not_return.c , 106 ,  Definition of not_return_004_func_001
not_return.c , 108 ,  Function exported but not used outside not_return:
not_return.c , 113 ,  Definition of not_return_004
sign_conv.c , 22 ,  Variable a initialized to type int, expects unsigned char:
sign_conv.c , 24 ,  Assignment of unsigned char to char: ret = a
sign_conv.c , 25 ,  Assignment of char to int: sink = ret
sign_conv.c , 36 ,  Assignment of unsigned short int to short int: ret = a
sign_conv.c , 48 ,  Assignment of unsigned int to int: ret = a
sign_conv.c , 60 ,  Assignment of unsigned long int to long int: ret = a
sign_conv.c , 61 ,  Assignment of long int to int: sink = ret
sign_conv.c , 70 ,  Variable a initialized to type int, expects char: 0x7f
sign_conv.c , 72 ,  Assignment of char to unsigned char: ret = a
sign_conv.c , 73 ,  Assignment of unsigned char to int: sink = ret
sign_conv.c , 84 ,  Assignment of short int to unsigned short int: ret = a
sign_conv.c , 85 ,  Assignment of unsigned short int to int: sink = ret
sign_conv.c , 96 ,  Assignment of int to unsigned int: ret = a
sign_conv.c , 97 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 108 ,  Assignment of long int to unsigned long int: ret = a
sign_conv.c , 109 ,  Assignment of unsigned long int to int: sink = ret
sign_conv.c , 125 ,  Assignment of unsigned int to int: s.ret = s.a
sign_conv.c , 141 ,  Assignment of int to unsigned int: s.ret = s.a
sign_conv.c , 152 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 167 ,  Assignment of int to unsigned int: ret = a
sign_conv.c , 168 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 179 ,  Assignment of int to unsigned int: ret = (5 * a) + 6
sign_conv.c , 180 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 191 ,  Assignment of int to unsigned int: ret = (a * a) - 3
sign_conv.c , 192 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 207 ,  Assignment of int to unsigned int:
sign_conv.c , 246 ,  Assignment of int to unsigned int: ret = a1
sign_conv.c , 247 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 262 ,  Assignment of int to unsigned int: ret = a2
sign_conv.c , 263 ,  Assignment of unsigned int to int: sink = ret
sign_conv.c , 20 ,  Function exported but not used outside sign_conv:
sign_conv.c , 26 ,  Definition of sign_conv_001
sign_conv.c , 32 ,  Function exported but not used outside sign_conv:
sign_conv.c , 38 ,  Definition of sign_conv_002
sign_conv.c , 44 ,  Function exported but not used outside sign_conv:
sign_conv.c , 50 ,  Definition of sign_conv_003
sign_conv.c , 56 ,  Function exported but not used outside sign_conv:
sign_conv.c , 62 ,  Definition of sign_conv_004
sign_conv.c , 68 ,  Function exported but not used outside sign_conv:
sign_conv.c , 74 ,  Definition of sign_conv_005
sign_conv.c , 80 ,  Function exported but not used outside sign_conv:
sign_conv.c , 86 ,  Definition of sign_conv_006
sign_conv.c , 92 ,  Function exported but not used outside sign_conv:
sign_conv.c , 98 ,  Definition of sign_conv_007
sign_conv.c , 104 ,  Function exported but not used outside sign_conv:
sign_conv.c , 110 ,  Definition of sign_conv_008
sign_conv.c , 121 ,  Function exported but not used outside sign_conv:
sign_conv.c , 126 ,  Definition of sign_conv_009
sign_conv.c , 137 ,  Function exported but not used outside sign_conv:
sign_conv.c , 142 ,  Definition of sign_conv_010
sign_conv.c , 148 ,  Function exported but not used outside sign_conv:
sign_conv.c , 153 ,  Definition of sign_conv_011
sign_conv.c , 159 ,  Function exported but not used outside sign_conv:
sign_conv.c , 169 ,  Definition of sign_conv_012
sign_conv.c , 175 ,  Function exported but not used outside sign_conv:
sign_conv.c , 181 ,  Definition of sign_conv_013
sign_conv.c , 187 ,  Function exported but not used outside sign_conv:
sign_conv.c , 193 ,  Definition of sign_conv_014
sign_conv.c , 199 ,  Variable exported but not used outside sign_conv:
sign_conv.c , 200 ,  Function exported but not used outside sign_conv:
sign_conv.c , 203 ,  Definition of sign_conv_015_func_001
sign_conv.c , 205 ,  Function exported but not used outside sign_conv:
sign_conv.c , 208 ,  Definition of sign_conv_015
sign_conv.c , 214 ,  Variable exported but not used outside sign_conv:
sign_conv.c , 215 ,  Function exported but not used outside sign_conv:
sign_conv.c , 218 ,  Definition of sign_conv_016_func_001
sign_conv.c , 220 ,  Function exported but not used outside sign_conv:
sign_conv.c , 223 ,  Definition of sign_conv_016
sign_conv.c , 229 ,  Variable exported but not used outside sign_conv:
sign_conv.c , 230 ,  Variable exported but not used outside sign_conv:
sign_conv.c , 231 ,  Function exported but not used outside sign_conv:
sign_conv.c , 234 ,  Definition of sign_conv_017
sign_conv.c , 240 ,  Function exported but not used outside sign_conv:
sign_conv.c , 248 ,  Definition of sign_conv_018
sign_conv.c , 254 ,  Function exported but not used outside sign_conv:
sign_conv.c , 264 ,  Definition of sign_conv_019
buffer_overrun_dynamic.c , 26 ,  Assignment of int to char: buf[i] = 1
buffer_overrun_dynamic.c , 145 ,  Index of possibly null pointer buf: buf
buffer_overrun_dynamic.c , 141 ,  Storage buf may become null
buffer_overrun_dynamic.c , 169 ,  Storage buf1 reachable from initial value is
buffer_overrun_dynamic.c , 164 ,  Fresh storage buf1 created
buffer_overrun_dynamic.c , 169 ,  Storage buf2 reachable from initial value is
buffer_overrun_dynamic.c , 165 ,  Fresh storage buf2 created
buffer_overrun_dynamic.c , 169 ,  Storage buf3 reachable from initial value is
